Date,PullNum,VialNum,DOC,TN
2016-06-03,T0,1,3.825,0.97
2016-06-03,T0,2,3.918,0.9273
2016-06-03,T0,3,4.263,0.8922
2016-06-03,T0,4,4.076,0.8864
2016-06-03,T0,5,3.254,0.865
2016-06-03,T0,6,3.668,0.8658
2016-06-03,T0,7,3.348,0.8653
2016-06-03,T0,8,3.664,0.8604
2016-06-03,T0,9,4.008,0.874
2016-06-03,T0,10,3.95,0.8585
2016-06-03,T0,11,3.604,0.8682
2016-06-03,T0,12,3.179,0.8566
2016-06-03,T0,13,3.396,0.8632
2016-06-03,T0,14,3.4,0.865
2016-06-03,T0,15,3.327,0.8658
2016-06-03,T0,16,3.66,0.8622
2016-06-03,T0,17,3.712,0.8634
2016-06-03,T0,18,3.24,0.869
2016-06-03,T0,19,3.78,0.8737
2016-06-03,T0,20,3.735,0.862
2016-06-03,T0,21,3.52,0.8828
2016-06-03,T0,22,3.645,0.8587
2016-06-03,T0,23,3.897,0.8793
2016-06-03,T0,24,3.492,0.8599
2016-06-03,T0,25,3.45,0.8579
2016-06-03,T0,26,3.248,0.8444
2016-06-03,T0,27,3.732,0.8962
2016-06-03,T0,28,3.729,0.8596
2016-06-03,T0,29,3.999,0.8703
2016-06-03,T0,30,4.091,0.8706
2016-06-16,T1,1,4.395,0.9054
2016-06-16,T1,2,4.109,0.9095
2016-06-16,T1,3,3.678,0.8909
2016-06-16,T1,4,4.665,0.8811
2016-06-16,T1,5,3.668,0.8745
2016-06-16,T1,6,3.901,0.9397
2016-06-16,T1,7,3.302,0.8994
2016-06-16,T1,8,3.25,0.8831
2016-06-16,T1,9,4.008,0.9084
2016-06-16,T1,10,3.614,0.8879
2016-06-16,T1,11,4.592,0.8714
2016-06-16,T1,12,3.868,0.8798
2016-06-16,T1,13,3.847,0.8758
2016-06-16,T1,14,4.017,0.8763
2016-06-16,T1,15,3.299,0.8754
2016-06-16,T1,16,3.661,0.8723
2016-06-16,T1,17,3.755,0.9069
2016-06-16,T1,18,3.411,0.8966
2016-06-16,T1,19,4.292,0.8817
2016-06-16,T1,20,3.511,0.8788
2016-06-16,T1,21,3.499,0.8822
2016-06-16,T1,22,3.036,0.8908
2016-06-16,T1,23,4.087,0.8789
2016-06-16,T1,24,3.561,0.8922
2016-06-16,T1,25,4.328,0.8812
2016-06-16,T1,26,4.248,0.8999
2016-06-16,T1,27,3.469,0.8878
2016-06-16,T1,28,3.118,0.8761
2016-06-16,T1,29,3.377,0.8944
2016-06-16,T1,30,3.035,0.8834
