Date ,BagTank ,CrucNum,CrucMass,CrucLeafDM,CrucAFDM
2016-06-08,1,1,29.7386,30.5386,29.7739
2016-06-08,2,4,27.4889,28.4595,27.5275
2016-06-08,3,24,29.3988,30.2178,29.4292
2016-06-08,4,10,29.7525,30.5903,29.7867
2016-06-08,5,5,30.3819,31.5000,30.4337
2016-06-08,6,8,28.9685,29.8570,29.0104
2016-06-08,7,23,28.8177,29.7599,28.8551
2016-06-08,8,20,29.1402,30.1431,29.1858
2016-06-08,9,21,31.0039,32.0282,31.0450
2016-06-08,10,13,29.7285,30.6137,29.7680
2016-06-08,11,6,31.5176,32.3657,31.5606
2016-06-08,12,15,26.9930,27.9591,27.0515
2016-06-08,13,16,28.8749,29.8405,28.9193
2016-06-08,14,9,27.0817,27.9664,27.1254
2016-06-08,15,6,31.5140,32.5193,
2016-06-08,16,23,28.8149,29.7222,
2016-06-08,17,20,29.1382,30.1813,
2016-06-08,18,21,31.0023,31.8657,
2016-06-08,19,16,28.8729,29.7372,
2016-06-08,20,7,28.1992,29.1179,
2016-06-08,21,13,29.7270,30.7694,
2016-06-08,22,1,29.7382,30.6544,
2016-06-08,23,12,28.1257,29.0918,
2016-06-08,24,15,26.9925,27.8793,
2016-06-08,25,8,28.9686,29.8449,
2016-06-08,26,22,26.9355,27.7549,
2016-06-08,27,9,27.0814,28.0808,
2016-06-08,28,24,29.3989,30.229,
2016-06-08,29,5,30.3820,31.2901,
2016-06-08,30,17,30.5157,31.4879,
