Date ,BagTank ,CrucNum,CrucMass,CrucLeafDM,CrucAM
2016-06-27,1,18,29.4387,29.8713,29.4558
2016-06-27,2,22,26.9356,27.0506,26.936
2016-06-27,3,14,28.2205,28.6885,28.2451
2016-06-27,4,8,28.9692,29.4614,28.9917
2016-06-27,5,16,28.8752,29.7176,28.9311
2016-06-27,6,20,29.1408,29.5172,29.1529
2016-06-27,7,7,28.2011,28.8669,28.2344
2016-06-27,8,23,28.8185,29.5327,28.8546
2016-06-27,9,12,28.1273,28.6791,28.155
2016-06-27,10,5,30.3829,30.7136,30.3901
2016-06-27,11,9,27.0819,27.3198,27.096
2016-06-27,12,10,29.7534,30.1682,29.7775
2016-06-27,13,1,29.7396,30.1814,29.7605
2016-06-27,14,21,31.0047,31.3936,31.0249
2016-06-27,15,24,29.3999,29.5203,29.404
2016-06-27,16,6,31.5178,31.7381,31.529
2016-06-27,17,17,30.5166,30.8459,30.5339
2016-06-27,18,4,27.4896,27.6867,27.4993
2016-06-27,19,13,29.729,29.8442,29.7363
2016-06-27,20,15,26.994,27.1057,27.0009
2016-06-27,21,16,29.5729,28.9216,28.9216
2016-06-27,22,20,29.8709,29.1809,29.1809
2016-06-27,23,7,28.8587,28.3587,28.211
2016-06-27,24,21,31.142,31.142,31.0127
2016-06-27,25,18,29.8951,29.8951,29.4866
2016-06-27,26,23,28.8773,28.8773,28.8243
2016-06-27,27,22,27.4909,27.4909,26.9814
2016-06-27,28,14,28.7157,28.7157,28.2523
2016-06-27,29,8,29.0874,29.0874,28.9728
2016-06-27,30,5,31.0483,31.0483,30.4202
