Species,Density,MassChange,LogMassChange,Survival 
Native,equal,1.550,0.1903,100.00
Native,equal,1.475,0.1688,100.00
Native,equal,1.725,0.2368,75.00
Native,equal,1.475,0.1688,100.00
Native,equal,1.942,0.2882,75.00
Native,equal,-1.800,NA,25.00
Native,high,1.200,0.0792,100.00
Native,high,1.225,0.0881,50.00
Native,high,2.158,0.3341,75.00
Native,high,1.250,0.0969,100.00
Native,high,1.050,0.0212,100.00
Native,high,2.325,0.3664,100.00
Native,low,3.483,0.5420,75.00
Native,low,2.275,0.3570,100.00
Native,low,2.992,0.4759,75.00
Native,low,1.225,0.0881,75.00
Native,low,3.442,0.5368,75.00
Native,low,3.750,0.5740,25.00
Native,control,1.725,0.2368,100.00
Native,control,3.625,0.5593,75.00
Native,control,1.925,0.2844,100.00
Native,control,3.050,0.4843,100.00
Native,control,2.425,0.3847,75.00
Native,control,1.750,0.2430,100.00
Invasive,control,4.375,0.6410,100.00
Invasive,control,2.608,0.4164,75.00
Invasive,control,5.125,0.7097,100.00
Invasive,control,6.700,0.8261,75.00
Invasive,control,6.667,0.8239,75.00
Invasive,control,5.275,0.7222,75.00
Invasive,equal,3.250,0.5119,100.00
Invasive,equal,1.708,0.2326,75.00
Invasive,equal,3.375,0.5283,75.00
Invasive,equal,3.225,0.5085,100.00
Invasive,equal,0.942,-0.0261,75.00
Invasive,equal,5.550,0.7443,100.00
Invasive,high,2.870,0.4579,83.33
Invasive,high,2.783,0.4446,100.00
Invasive,high,2.150,0.3324,100.00
Invasive,high,3.100,0.4914,83.33
Invasive,high,2.417,0.3832,66.67
Invasive,high,2.690,0.4298,83.33
Invasive,low,10.650,1.0273,100.00
Invasive,low,4.100,0.6128,50.00
Invasive,low,-7.850,NA,0.00
Invasive,low,3.750,0.5740,100.00
Invasive,low,-1.050,NA,100.00
Invasive,low,1.450,0.1614,100.00
,,,,
