Year,Tank,Treatment,Species,Type,Abundance,Total_Abundance,Invasive_Abundance,Stocked_Mass,Harvested_Mass,,4.65
2015,1,Ctl_Native,Cambarus sp C,Native,4,4,0,5.4,5.6,,
2015,1,Ctl_Native,Cambarus sp C,Native,4,4,0,5,5.2,,
2015,1,Ctl_Native,Cambarus sp C,Native,4,4,0,3.7,4.5,,
2015,1,Ctl_Native,Cambarus sp C,Native,4,4,0,4.5,4.9,,
2015,5,Ctl_Native,Cambarus sp C,Native,4,4,0,3.8,3.6,,
2015,5,Ctl_Native,Cambarus sp C,Native,4,4,0,5.5,5.9,,
2015,5,Ctl_Native,Cambarus sp C,Native,4,4,0,6.3,7.3,,
2015,5,Ctl_Native,Cambarus sp C,Native,4,4,0,11.5,11.9,,
2015,2,Ctl_Native,Cambarus sp C,Native,4,4,0,3.5,3.8,,
2015,2,Ctl_Native,Cambarus sp C,Native,4,4,0,7.3,7.5,,
2015,2,Ctl_Native,Cambarus sp C,Native,4,4,0,4.1,5.3,,
2015,2,Ctl_Native,Cambarus sp C,Native,4,4,0,7.4,10.4,,
2015,7,Ctl_Native,Cambarus sp C,Native,4,4,0,3.9,NA,,
2015,7,Ctl_Native,Cambarus sp C,Native,4,4,0,4.1,5.4,,
2015,7,Ctl_Native,Cambarus sp C,Native,4,4,0,6.5,6.3,,
2015,7,Ctl_Native,Cambarus sp C,Native,4,4,0,6.5,6.8,,
2015,6,Equal,Cambarus sp C,Native,3,6,3,4.8,NA,,
2015,6,Equal,Cambarus sp C,Native,3,6,3,5,NA,,
2015,6,Equal,Cambarus sp C,Native,3,6,3,7.3,NA,,
2015,12,Equal,Cambarus sp C,Native,3,6,3,9.3,NA,,
2015,12,Equal,Cambarus sp C,Native,3,6,3,6,3.7,,
2015,12,Equal,Cambarus sp C,Native,3,6,3,2.9,NA,,
2015,8,Equal,Cambarus sp C,Native,3,6,3,4.9,4.5,,
2015,8,Equal,Cambarus sp C,Native,3,6,3,6.9,6.1,,
2015,8,Equal,Cambarus sp C,Native,3,6,3,9.6,9.5,,
2015,9,Equal,Cambarus sp C,Native,3,6,3,10.2,10.6,,
2015,9,Equal,Cambarus sp C,Native,3,6,3,10.5,10.6,,
2015,9,Equal,Cambarus sp C,Native,3,6,3,6.7,6.9,,
2015,6,Equal,P. clarkii,Invasive,3,6,3,18.3,23.5,,
2015,6,Equal,P. clarkii,Invasive,3,6,3,5.8,8.7,,
2015,6,Equal,P. clarkii,Invasive,3,6,3,3.3,5,,
2015,12,Equal,P. clarkii,Invasive,3,6,3,21.1,22.3,,
2015,12,Equal,P. clarkii,Invasive,3,6,3,6.2,6.2,,
2015,12,Equal,P. clarkii,Invasive,3,6,3,6,6,,
2015,8,Equal,P. clarkii,Invasive,3,6,3,21.3,22.5,,
2015,8,Equal,P. clarkii,Invasive,3,6,3,3.3,4.6,,
2015,8,Equal,P. clarkii,Invasive,3,6,3,3.1,3.6,,
2015,9,Equal,P. clarkii,Invasive,3,6,3,10.9,16.1,,
2015,9,Equal,P. clarkii,Invasive,3,6,3,2.9,NA,,
2015,9,Equal,P. clarkii,Invasive,3,6,3,2.3,3.5,,
2015,3,Ctl_Invasive,P. clarkii,Invasive,3,3,3,1.7,10.2,,
2015,3,Ctl_Invasive,P. clarkii,Invasive,3,3,3,1.6,9.1,,
2015,3,Ctl_Invasive,P. clarkii,Invasive,3,3,3,1.5,5.7,,
2015,4,Ctl_Invasive,P. clarkii,Invasive,3,3,3,1.6,2.5,,
2015,4,Ctl_Invasive,P. clarkii,Invasive,3,3,3,1.8,3.8,,
2015,4,Ctl_Invasive,P. clarkii,Invasive,3,3,3,1.4,4.9,,
2016,1,Ctl_Native,Cambarus sp C,Native,4,4,0,9.2,9.2,,
2016,1,Ctl_Native,Cambarus sp C,Native,4,4,0,2.5,8.8,,
2016,1,Ctl_Native,Cambarus sp C,Native,4,4,0,7.2,5.2,,
2016,1,Ctl_Native,Cambarus sp C,Native,4,4,0,2.5,5.1,,
2016,4,High,Cambarus sp C,Native,4,10,6,6.8,8.1,,
2016,4,High,Cambarus sp C,Native,4,10,6,8.1,8.4,,
2016,4,High,Cambarus sp C,Native,4,10,6,2.8,3.9,,
2016,4,High,Cambarus sp C,Native,4,10,6,2.8,4.9,,
2016,3,Equal,Cambarus sp C,Native,4,8,4,10.5,10.6,,
2016,3,Equal,Cambarus sp C,Native,4,8,4,5.2,10.8,,
2016,3,Equal,Cambarus sp C,Native,4,8,4,8.3,6.9,,
2016,3,Equal,Cambarus sp C,Native,4,8,4,2.5,4.4,,
2016,2,Low,Cambarus sp C,Native,4,6,2,10.3,5.2,,
2016,2,Low,Cambarus sp C,Native,4,6,2,8.7,13.9,,
2016,2,Low,Cambarus sp C,Native,4,6,2,2.5,10.1,,
2016,2,Low,Cambarus sp C,Native,4,6,2,3.5,NA,,
2016,6,Ctl_Native,Cambarus sp C,Native,4,4,0,5.9,8.2,,
2016,6,Ctl_Native,Cambarus sp C,Native,4,4,0,8.5,13.2,,
2016,6,Ctl_Native,Cambarus sp C,Native,4,4,0,2.4,4.1,,
2016,6,Ctl_Native,Cambarus sp C,Native,4,4,0,2.7,NA,,
2016,10,High,Cambarus sp C,Native,4,10,6,10.7,11.2,,
2016,10,High,Cambarus sp C,Native,4,10,6,8.2,2.9,,
2016,10,High,Cambarus sp C,Native,4,10,6,2.1,NA,,
2016,10,High,Cambarus sp C,Native,4,10,6,2.3,NA,,
2016,7,Equal,Cambarus sp C,Native,4,8,4,9.7,11.9,,
2016,7,Equal,Cambarus sp C,Native,4,8,4,6.2,7.3,,
2016,7,Equal,Cambarus sp C,Native,4,8,4,3.7,5,,
2016,7,Equal,Cambarus sp C,Native,4,8,4,2,3.3,,
2016,9,Low,Cambarus sp C,Native,4,6,2,9.3,12.8,,
2016,9,Low,Cambarus sp C,Native,4,6,2,5.6,8.2,,
2016,9,Low,Cambarus sp C,Native,4,6,2,3.3,4.3,,
2016,9,Low,Cambarus sp C,Native,4,6,2,2.5,4.5,,
2016,13,Ctl_Native,Cambarus sp C,Native,4,4,0,7.2,7.1,,
2016,13,Ctl_Native,Cambarus sp C,Native,4,4,0,5.6,10.2,,
2016,13,Ctl_Native,Cambarus sp C,Native,4,4,0,1.9,3.3,,
2016,13,Ctl_Native,Cambarus sp C,Native,4,4,0,3.7,5.5,,
2016,12,High,Cambarus sp C,Native,4,10,6,7.6,7.5,,
2016,12,High,Cambarus sp C,Native,4,10,6,6.7,10.3,,
2016,12,High,Cambarus sp C,Native,4,10,6,3.4,4.2,,
2016,12,High,Cambarus sp C,Native,4,10,6,3,NA,,
2016,15,Equal,Cambarus sp C,Native,4,8,4,6.4,11.8,,
2016,15,Equal,Cambarus sp C,Native,4,8,4,8.4,3.9,,
2016,15,Equal,Cambarus sp C,Native,4,8,4,2.7,4.7,,
2016,15,Equal,Cambarus sp C,Native,4,8,4,2.8,NA,,
2016,14,Low,Cambarus sp C,Native,4,6,2,10,11.5,,
2016,14,Low,Cambarus sp C,Native,4,6,2,7.6,10.6,,
2016,14,Low,Cambarus sp C,Native,4,6,2,2.1,3.9,,
2016,14,Low,Cambarus sp C,Native,4,6,2,3,NA,,
2016,18,Ctl_Native,Cambarus sp C,Native,4,4,0,7.8,10.4,,
2016,18,Ctl_Native,Cambarus sp C,Native,4,4,0,6.3,8.5,,
2016,18,Ctl_Native,Cambarus sp C,Native,4,4,0,2.4,6.6,,
2016,18,Ctl_Native,Cambarus sp C,Native,4,4,0,3.5,6.7,,
2016,19,High,Cambarus sp C,Native,4,10,6,9.4,9.1,,
2016,19,High,Cambarus sp C,Native,4,10,6,6.9,9.9,,
2016,19,High,Cambarus sp C,Native,4,10,6,3.1,5.9,,
2016,19,High,Cambarus sp C,Native,4,10,6,4,3.5,,
2016,16,Equal,Cambarus sp C,Native,4,8,4,9.3,9.4,,
2016,16,Equal,Cambarus sp C,Native,4,8,4,8.1,10.8,,
2016,16,Equal,Cambarus sp C,Native,4,8,4,2.8,5.2,,
2016,16,Equal,Cambarus sp C,Native,4,8,4,3.7,4.4,,
2016,17,Low,Cambarus sp C,Native,4,6,2,6.4,9.5,,
2016,17,Low,Cambarus sp C,Native,4,6,2,6.7,5.6,,
2016,17,Low,Cambarus sp C,Native,4,6,2,4.4,3.2,,
2016,17,Low,Cambarus sp C,Native,4,6,2,2,NA,,
2016,25,Ctl_Native,Cambarus sp C,Native,4,4,0,8.9,10.5,,
2016,25,Ctl_Native,Cambarus sp C,Native,4,4,0,7.6,11,,
2016,25,Ctl_Native,Cambarus sp C,Native,4,4,0,4.7,3.1,,
2016,25,Ctl_Native,Cambarus sp C,Native,4,4,0,1.9,NA,,
2016,23,High,Cambarus sp C,Native,4,10,6,12.1,7.3,,
2016,23,High,Cambarus sp C,Native,4,10,6,13.8,13.6,,
2016,23,High,Cambarus sp C,Native,4,10,6,5.2,12.7,,
2016,23,High,Cambarus sp C,Native,4,10,6,3.8,5.5,,
2016,22,Equal,Cambarus sp C,Native,4,8,4,11.5,11.6,,
2016,22,Equal,Cambarus sp C,Native,4,8,4,7.3,9.1,,
2016,22,Equal,Cambarus sp C,Native,4,8,4,2.1,3.2,,
2016,22,Equal,Cambarus sp C,Native,4,8,4,3.2,NA,,
2016,24,Low,Cambarus sp C,Native,4,6,2,7.4,9.5,,
2016,24,Low,Cambarus sp C,Native,4,6,2,8.2,8.4,,
2016,24,Low,Cambarus sp C,Native,4,6,2,5,9.6,,
2016,24,Low,Cambarus sp C,Native,4,6,2,2.3,NA,,
2016,28,Ctl_Native,Cambarus sp C,Native,4,4,0,6.9,4.4,,
2016,28,Ctl_Native,Cambarus sp C,Native,4,4,0,6.2,7.8,,
2016,28,Ctl_Native,Cambarus sp C,Native,4,4,0,2.6,8.5,,
2016,28,Ctl_Native,Cambarus sp C,Native,4,4,0,2.1,4.1,,
2016,26,High,Cambarus sp C,Native,4,10,6,6,7.5,,
2016,26,High,Cambarus sp C,Native,4,10,6,6.4,9.8,,
2016,26,High,Cambarus sp C,Native,4,10,6,1.9,5.7,,
2016,26,High,Cambarus sp C,Native,4,10,6,1.8,2.4,,
2016,29,Equal,Cambarus sp C,Native,4,8,4,7.6,2.7,,
