Year,Tank,Treatment,Species,Stocked,Harvested
2015,1,Native,Cambarus sp C,5.4,5.6
2015,1,Native,Cambarus sp C,5,5.2
2015,1,Native,Cambarus sp C,3.7,4.5
2015,1,Native,Cambarus sp C,4.5,4.9
2015,5,Native,Cambarus sp C,3.8,3.6
2015,5,Native,Cambarus sp C,5.5,5.9
2015,5,Native,Cambarus sp C,6.3,7.3
2015,5,Native,Cambarus sp C,11.5,11.9
2015,2,Native,Cambarus sp C,3.5,3.8
2015,2,Native,Cambarus sp C,7.3,7.5
2015,2,Native,Cambarus sp C,4.1,5.3
2015,2,Native,Cambarus sp C,7.4,10.4
2015,7,Native,Cambarus sp C,3.9,NA
2015,7,Native,Cambarus sp C,4.1,5.4
2015,7,Native,Cambarus sp C,6.5,6.3
2015,7,Native,Cambarus sp C,6.5,6.8
2015,6,Equal,Cambarus sp C,4.8,NA
2015,6,Equal,Cambarus sp C,5,NA
2015,6,Equal,Cambarus sp C,7.3,NA
2015,12,Equal,Cambarus sp C,9.3,NA
2015,12,Equal,Cambarus sp C,6,3.7
2015,12,Equal,Cambarus sp C,2.9,NA
2015,8,Equal,Cambarus sp C,4.9,4.5
2015,8,Equal,Cambarus sp C,6.9,6.1
2015,8,Equal,Cambarus sp C,9.6,9.5
2015,9,Equal,Cambarus sp C,10.2,10.6
2015,9,Equal,Cambarus sp C,10.5,10.6
2015,9,Equal,Cambarus sp C,6.7,6.9
2015,6,Equal,P. clarkii,18.3,23.5
2015,6,Equal,P. clarkii,5.8,8.7
2015,6,Equal,P. clarkii,3.3,5
2015,12,Equal,P. clarkii,21.1,22.3
2015,12,Equal,P. clarkii,6.2,6.2
2015,12,Equal,P. clarkii,6,6
2015,8,Equal,P. clarkii,21.3,22.5
2015,8,Equal,P. clarkii,3.3,4.6
2015,8,Equal,P. clarkii,3.1,3.6
2015,9,Equal,P. clarkii,10.9,16.1
2015,9,Equal,P. clarkii,2.9,NA
2015,9,Equal,P. clarkii,2.3,3.5
2015,3,Invasive,P. clarkii,1.7,10.2
2015,3,Invasive,P. clarkii,1.6,9.1
2015,3,Invasive,P. clarkii,1.5,5.7
2015,4,Invasive,P. clarkii,1.6,2.5
2015,4,Invasive,P. clarkii,1.8,3.8
2015,4,Invasive,P. clarkii,1.4,4.9
2016,1,Native,Cambarus sp C,9.2,9.2
2016,1,Native,Cambarus sp C,2.5,8.8
2016,1,Native,Cambarus sp C,7.2,5.2
2016,1,Native,Cambarus sp C,2.5,5.1
2016,4,High,Cambarus sp C,6.8,8.1
2016,4,High,Cambarus sp C,8.1,8.4
2016,4,High,Cambarus sp C,2.8,3.9
2016,4,High,Cambarus sp C,2.8,4.9
