Tank,Treatment,Species,Stocked,Harvested
1,Native only,Cambarus sp C,9.2,9.2
1,Native only,Cambarus sp C,2.5,8.8
1,Native only,Cambarus sp C,7.2,5.2
1,Native only,Cambarus sp C,2.5,5.1
4,High density,Cambarus sp C,6.8,8.1
4,High density,Cambarus sp C,8.1,8.4
4,High density,Cambarus sp C,2.8,3.9
4,High density,Cambarus sp C,2.8,4.9
3,Equal density,Cambarus sp C,10.5,10.6
3,Equal density,Cambarus sp C,5.2,10.8
3,Equal density,Cambarus sp C,8.3,6.9
3,Equal density,Cambarus sp C,2.5,4.4
2,Low density,Cambarus sp C,10.3,5.2
2,Low density,Cambarus sp C,8.7,13.9
2,Low density,Cambarus sp C,2.5,10.1
2,Low density,Cambarus sp C,3.5,NA
6,Native only,Cambarus sp C,5.9,8.2
6,Native only,Cambarus sp C,8.5,13.2
6,Native only,Cambarus sp C,2.4,4.1
6,Native only,Cambarus sp C,2.7,NA
10,High density,Cambarus sp C,10.7,11.2
10,High density,Cambarus sp C,8.2,2.9
10,High density,Cambarus sp C,2.1,NA
10,High density,Cambarus sp C,2.3,NA
7,Equal density,Cambarus sp C,9.7,11.9
7,Equal density,Cambarus sp C,6.2,7.3
7,Equal density,Cambarus sp C,3.7,5
7,Equal density,Cambarus sp C,2,3.3
9,Low density,Cambarus sp C,9.3,12.8
9,Low density,Cambarus sp C,5.6,8.2
9,Low density,Cambarus sp C,3.3,4.3
9,Low density,Cambarus sp C,2.5,4.5
13,Native only,Cambarus sp C,7.2,7.1
13,Native only,Cambarus sp C,5.6,10.2
13,Native only,Cambarus sp C,1.9,3.3
13,Native only,Cambarus sp C,3.7,5.5
12,High density,Cambarus sp C,7.6,7.5
12,High density,Cambarus sp C,6.7,10.3
12,High density,Cambarus sp C,3.4,4.2
12,High density,Cambarus sp C,3,NA
15,Equal density,Cambarus sp C,6.4,11.8
15,Equal density,Cambarus sp C,8.4,3.9
15,Equal density,Cambarus sp C,2.7,4.7
15,Equal density,Cambarus sp C,2.8,NA
14,Low density,Cambarus sp C,10,11.5
14,Low density,Cambarus sp C,7.6,10.6
14,Low density,Cambarus sp C,2.1,3.9
14,Low density,Cambarus sp C,3,NA
18,Native only,Cambarus sp C,7.8,10.4
18,Native only,Cambarus sp C,6.3,8.5
18,Native only,Cambarus sp C,2.4,6.6
18,Native only,Cambarus sp C,3.5,6.7
19,High density,Cambarus sp C,9.4,9.1
19,High density,Cambarus sp C,6.9,9.9
19,High density,Cambarus sp C,3.1,5.9
19,High density,Cambarus sp C,4,3.5
16,Equal density,Cambarus sp C,9.3,9.4
16,Equal density,Cambarus sp C,8.1,10.8
16,Equal density,Cambarus sp C,2.8,5.2
16,Equal density,Cambarus sp C,3.7,4.4
17,Low density,Cambarus sp C,6.4,9.5
17,Low density,Cambarus sp C,6.7,5.6
17,Low density,Cambarus sp C,4.4,3.2
17,Low density,Cambarus sp C,2,NA
25,Native only,Cambarus sp C,8.9,10.5
25,Native only,Cambarus sp C,7.6,11
25,Native only,Cambarus sp C,4.7,3.1
25,Native only,Cambarus sp C,1.9,NA
23,High density,Cambarus sp C,12.1,7.3
23,High density,Cambarus sp C,13.8,13.6
23,High density,Cambarus sp C,5.2,12.7
23,High density,Cambarus sp C,3.8,5.5
22,Equal density,Cambarus sp C,11.5,11.6
22,Equal density,Cambarus sp C,7.3,9.1
22,Equal density,Cambarus sp C,2.1,3.2
22,Equal density,Cambarus sp C,3.2,NA
24,Low density,Cambarus sp C,7.4,9.5
24,Low density,Cambarus sp C,8.2,8.4
24,Low density,Cambarus sp C,5,9.6
24,Low density,Cambarus sp C,2.3,NA
28,Native only,Cambarus sp C,6.9,4.4
28,Native only,Cambarus sp C,6.2,7.8
28,Native only,Cambarus sp C,2.6,8.5
28,Native only,Cambarus sp C,2.1,4.1
26,High density,Cambarus sp C,6,7.5
26,High density,Cambarus sp C,6.4,9.8
26,High density,Cambarus sp C,1.9,5.7
26,High density,Cambarus sp C,1.8,2.4
29,Equal density,Cambarus sp C,7.6,2.7
29,Equal density,Cambarus sp C,5.2,NA
29,Equal density,Cambarus sp C,2,NA
29,Equal density,Cambarus sp C,3.2,NA
27,Low density,Cambarus sp C,9.2,8.8
27,Low density,Cambarus sp C,6.1,NA
27,Low density,Cambarus sp C,2.3,NA
27,Low density,Cambarus sp C,2.6,NA
4,High density,F. virilis,4,15
4,High density,F. virilis,5.5,6.4
4,High density,F. virilis,9.3,12.7
4,High density,F. virilis,3.4,3.1
4,High density,F. virilis,6.5,3.4
4,High density,F. virilis,2.8,NA
3,Equal density,F. virilis,3,13
3,Equal density,F. virilis,5.5,3.9
3,Equal density,F. virilis,3.4,6.8
3,Equal density,F. virilis,4.4,5.6
2,Low density,F. virilis,5.3,8
2,Low density,F. virilis,4,22.6
5,Invasive only,F. virilis,6.7,14.7
5,Invasive only,F. virilis,1.4,14.8
5,Invasive only,F. virilis,4.6,10.6
5,Invasive only,F. virilis,11.4,1.5
10,High density,F. virilis,3.6,17.9
10,High density,F. virilis,6,7.4
10,High density,F. virilis,6.5,7.3
10,High density,F. virilis,6.1,2.8
10,High density,F. virilis,2,4
10,High density,F. virilis,3.2,4.7
7,Equal density,F. virilis,4.5,5.2
7,Equal density,F. virilis,2.9,6.1
7,Equal density,F. virilis,3,3.5
7,Equal density,F. virilis,2.5,NA
9,Low density,F. virilis,3.5,7.5
9,Low density,F. virilis,3.3,NA
8,Invasive only,F. virilis,2.5,6.5
8,Invasive only,F. virilis,3.2,13.2
8,Invasive only,F. virilis,4.9,5
8,Invasive only,F. virilis,11.9,NA
12,High density,F. virilis,2.8,12.2
12,High density,F. virilis,7.4,4.4
12,High density,F. virilis,2.3,4.9
12,High density,F. virilis,2.5,4.4
12,High density,F. virilis,2.9,4.4
12,High density,F. virilis,2.7,3.2
15,Equal density,F. virilis,7.7,8.2
15,Equal density,F. virilis,3.5,11.2
15,Equal density,F. virilis,4,3.7
15,Equal density,F. virilis,2.1,NA
14,Low density,F. virilis,8.6,NA
14,Low density,F. virilis,7.1,NA
11,Invasive only,F. virilis,6.3,20.4
11,Invasive only,F. virilis,6,15.4
11,Invasive only,F. virilis,9.3,10.5
11,Invasive only,F. virilis,15.2,11
19,High density,F. virilis,8.4,17.1
19,High density,F. virilis,3.5,4.3
19,High density,F. virilis,3,4.5
19,High density,F. virilis,2.2,4.6
19,High density,F. virilis,3.3,4
19,High density,F. virilis,2.4,NA
16,Equal density,F. virilis,5,5.2
16,Equal density,F. virilis,2.3,4.5
16,Equal density,F. virilis,2,3.6
16,Equal density,F. virilis,3.2,12.1
17,Low density,F. virilis,4.8,5.3
