Date,BagTank,CrucNum,CrucMass,CrucLeafDM,CrucAFDM
2016-06-03,1,17,30.5126,31.6345,30.5568
2016-06-04,2,14,28.2190,29.3012,28.2689
2016-06-05,3,22,26.9336,27.9605,26.9769
2016-06-06,4,12,28.1252,29.2256,28.1731
2016-06-07,5,7,28.1993,29.1880,28.2385
2016-06-08,6,12,28.1238,29.2187,28.1748
2016-06-09,7,7,28.1980,29.1926,28.2387
2016-06-10,8,14,28.2184,29.4097,28.2821
2016-06-11,9,22,26.9343,28.0752,26.9915
2016-06-12,10,17,30.5146,31.4729,30.5548
2016-06-13,11,18,29.4373,30.4375,29.4830
